"SEND MESSAGE","Jetzt Nachricht versenden"
"CONTACT INFORMATION","KONTAKTIEREN SIE UNS"
"search entire store here...","Im Shop suchen..."
"enter your e-mail...","Bitte E-Mail eintragen"
"NEWSLETTER SIGNUP","Newsletter abonnieren"
"FACEBOOK","FACEBOOK"
"TWITTER FEEDS","Twitter-Feeds"
"Featured Products","Empfehlungen"
"NEW PRODUCTS","NEUE PRODUKTE"
"SALE PRODUCTS","SONDERANGEBOTE"
"upsell products","Weitere interessante Produkte"
"Language","Sprache"
"Currency","Währung"
"Login","Anmelden"
"using",""
"Register","Registrieren"
"Account","Mein Konto"
"My Wishlist","Mein Wunschzettel"
"My Wishlist (%d item)","Wunschzettel (%d)"
"My Wishlist (%d items)","Wunschzettel (%d)"
"My Cart","Mein Warenkorb"
"My Cart (%s item)","Mein Warenkorb ( %s Stück )"
"My Cart (%s items)","Mein Warenkorb ( %s Artikel )"
"Checkout","Kasse"
"Log In","Anmelden"
"Compare (0)","Vergleichen (0)"
"Compare (%d items)","Vergleichen (%d items)"
"Compare (%d item)","Vergleichen (%d item)"
"Recently added item(s)","Kürzlich hinzugefügte Artikel (s)"
"Add to Wishlist","Auf den Wunschzettel"
"Add to Compare","Auf die Vergleichsliste"
"Quick View","Quick View"
"was added to your cart","wurde zu Ihrem Warenkorb hinzugefügt"
"Price","Preis"
"search","Suche"
"Related Products","Ähnliche Produkte"
"View shopping cart","Warenkorb ansehen"
"Email to a friend","Mail an einen Freund"
"Description","Beschreibung"
"New","NEU"
"Sale","ANGEBOT"
"Please select the subject of your inquiry...","Betreffende Abteilung"
"Sales","Verkauf"
"Customer Service","Kundendienst"
"Wholesale Inquiry","Grosshandel"
"General Inquiry","Allgemeine Frage"
"Webmaster","Webmaster"
