"search entire store here...","sök hela butiken här ...""
"enter your e-mail...","skriv in din e-postadress ..."
"NEWSLETTER SIGNUP","Registrering för nyhetsbrev"
"FACEBOOK","FACEBOOK"
"TWITTER FEEDS","Twitter-flöden"
"Featured Products","Heta produkter"
"NEW PRODUCTS","Nya produkter"
"SALE PRODUCTS","REA"
"upsell products","Uppgradering produkter"
"Language","Språk"
"Currency","Valuta"
"Login","Logga in"
"using",""
"Register","Registrera"
"Account","Konto"
"My Wishlist","Min önskelista"
"My Wishlist (%d item)","Min önskelista (%d)"
"My Wishlist (%d items)","Min önskelista (%d)"
"My Cart","Min varukorg"
"My Cart (%s item)","Min varukorg (%s item)"
"My Cart (%s items)","Min varukorg (%s items)"
"Checkout","Kassa"
"Log In","Logga in"
"Compare (0)","Jämför (0)"
"Compare (%d items)","Jämför (%d objekt)"
"Compare (%d item)","Jämför (%d objekt)"
"Recently added item(s)","Nyligen tillagda produkter (s)"
"Add to Wishlist","Lägg till i önskelista"
"Add to Compare","Lägg till jämförelse"
"Quick View","Quick View"
"was added to your cart","lades till i din varukorg"
"Price","Pris"
"search","sök"
"Related Products","Relaterade produkter"
"View shopping cart","Visa kundvagnen"
"Email to a friend","Tipsa en vän"
"Description","Beskrivning"
"New","New"
"Sale","Sale"



