"search entire store here...","Ricerca l'intero negozio di qui ..."
"enter your e-mail...","inserisci la tua e-mail ..."
"NEWSLETTER SIGNUP","Iscriviti alla newsletter"
"FACEBOOK","FACEBOOK"
"TWITTER FEEDS","feed di Twitter"
"Featured Products","Prodotti in vetrina"
"NEW PRODUCTS","Nuovi prodotti"
"SALE PRODUCTS","PRODOTTI vendita"
"upsell products","up-selling di prodotti"
"Language","Lingua"
"Currency","Valuta"
"Login","Login"
"using",""
"Register","Registrazione"
"Account","Account"
"My Wishlist","Lista dei Desideri"
"My Wishlist (%d item)","La mia lista (%d)"
"My Wishlist (%d items)","La mia lista (%d)"
"My Cart","Il mio carrello"
"My Cart (%s item)","Il mio carrello ( %s element )"
"My Cart (%s items)","Il mio carrello ( %s elementi )"
"Checkout","Cassa"
"Log In","Log In"
"Compare (0)","Confronta  (0)"
"Compare (%d items)","Confronta  (%d elementi)"
"Compare (%d item)","Confronta  (%d element)"
"Recently added item(s)","Prodotti aggiunti recentemente (s)"
"Add to Wishlist","Aggiungi alla lista dei desideri
"Add to Compare","Aggiungi al Confronto"
"Quick View","Quick View"
"was added to your cart","è stato aggiunto al carrello"
"Price","Prezzo"
"search","ricerca"
"Related Products","Prodotti correlati"
"View shopping cart","Visualizza carrello"
"Email to a friend","Invia ad un amico"
"Description","説明"
"New","New"
"Sale","Sale"



