"search entire store here...","поиск по магазину..."
"enter your e-mail...","ввести e-mail..."
"NEWSLETTER SIGNUP","NEWSLETTER SIGNUP"
"FACEBOOK","FACEBOOK"
"TWITTER FEEDS","TWITTER FEEDS"
"Featured Products","Рекомендуемые товары"
"NEW PRODUCTS","НОВИНКИ"
"SALE PRODUCTS","Распродажа"
"upsell products","С данным товаром покупают еще"
"Language","Язык"
"Currency","Валюта"
"Login","Войти"
"using","используя"
"Register","Регистрация"
"Account","Профиль"
"My Wishlist","Список желаний"
"My Wishlist (%d item)","Список желаний (%d)"
"My Wishlist (%d items)","Список желаний (%d)"
"My Cart","Корзина"
"My Cart (%s item)","В корзине (%s товар)"
"My Cart (%s items)","В корзине (%s товаров)"
"Checkout","Оформить заказ"
"Log In","Вход"
"Compare (0)","Сравнение (0)"
"Compare (%d items)","Сравнить (%d товаров)"
"Compare (%d item)","Сравнить (%d товар)"
"Recently added item(s)","Недавно добавленные товары"
"Add to Wishlist","Добавить в список желаний"
"Add to Compare","Сравнить"
"Quick View","Просмотр"
"was added to your cart","был добавлен в вашу корзину"
"Price","Цена"
"search","поиск"
"Related Products","Связанные товары"
"View shopping cart","Посмотреть корзину"
"Email to a friend","Рассказать другу"
"Description","Описание"
"BESTSELLERS","Самые продаваемые"
"New","New"
"Sale","Sale"
