"search entire store here...","søg hele butikken her ..."
"enter your e-mail...","indtaste din e-mail ..."
"NEWSLETTER SIGNUP","NYHEDSBREV TILMELD"
"FACEBOOK","FACEBOOK"
"TWITTER FEEDS","TWITTER FEEDS"
"Featured Products","Udvalgte produkter"
"NEW PRODUCTS","Nye produkter"
"SALE PRODUCTS","Salg af varer"
"upsell products","mersalg produkter"
"Language","Sprog"
"Currency","Valuta"
"Login","Login"
"using",""
"Register","Register"
"Account","Konto"
"My Wishlist","Min ønskeliste"
"My Wishlist (%d item)","Min ønskeliste (%d)"
"My Wishlist (%d items)","Min ønskeliste (%d)"
"My Cart","Indkøbskurv"
"My Cart (%s item)","Indkøbskurv ( %s emne )"
"My Cart (%s items)","Indkøbskurv ( %s emner )"
"Checkout","Kassen"
"Log In","Log ind"
"Compare (0)","Sammenlign  (0)"
"Compare (%d items)","Sammenlign  (%d emner)"
"Compare (%d item)","Sammenlign  (%d emne)"
"Recently added item(s)","Seneste tilføjede vare (r)"
"Add to Wishlist","Tilføj til ønskeliste"
"Add to Compare","Sammenlign"
"Quick View","Quick View"
"was added to your cart","er tilføjet til din indkøbskurv"
"Price","Pris"
"search","søgning"
"Related Products","Relaterede produkter"
"View shopping cart","Se indkøbskurv"
"Email to a friend","E-mail til en ven"
"Description","Beskrivelse"
"New","New"
"Sale","Sale"



