"search entire store here...","Pesquisa loja inteira aqui ..."
"enter your e-mail...","insira seu e-mail ..."
"NEWSLETTER SIGNUP","Assine a Newsletter"
"FACEBOOK","FACEBOOK"
"TWITTER FEEDS","TWITTER FEEDS"
"Featured Products","Produtos em Destaque"
"NEW PRODUCTS","Novos produtos"
"SALE PRODUCTS","Produtos à venda"
"upsell products","upsell produtos"
"Language","Language"
"Currency","Moeda"
"Login","Login"
"using",""
"Register","Registrar"
"Account","Conta"
"My Wishlist","Minha Lista"
"My Wishlist (%d item)","Minha Lista de Desejos (%d item)"
"My Wishlist (%d items)","Minha Lista de Desejos (%d items)"
"My Cart","Meu Carrinho"
"My Cart (%s item)","Meu Carrinho (%s item)"
"My Cart (%s items)","Meu Carrinho (%s items)"
"Checkout","Checkout"
"Log In","Log In"
"Compare (0)","Compare (0)"
"Compare (%d items)","Compare (%d items)"
"Compare (%d item)","Compare (%d item)"
"Recently added item(s)","Item adicionado recentemente (s)"
"Add to Wishlist","Adicionar à Lista"
"Add to Compare","Adicionar para comparação"
"Quick View","Quick View"
"was added to your cart","foi adicionado ao seu carrinho"
"Price","Preço"
"search","busca"
"Related Products","Produtos Relacionados"
"View shopping cart","Ver carrinho de compras"
"Email to a friend","Enviar para um amigo"
"Description","Descrição"
"New","New"
"Sale","Sale"



