"search entire store here...","search cały sklep tutaj ..."
"enter your e-mail...","wpisz swój e-mail ..."
"NEWSLETTER SIGNUP","Newsletter"
"FACEBOOK","FACEBOOK"
"TWITTER FEEDS","TWITTER FEEDS"
"Featured Products","Polecane produkty"
"NEW PRODUCTS","Nowe produkty"
"SALE PRODUCTS","Sprzedaż produktów"
"upsell products","upsell produkty"
"Language","Język"
"Currency","Kalkulator"
"Login","Login"
"using",""
"Register","Rejestr"
"Account","Konto"
"My Wishlist","Moja lista życzeń"
"My Wishlist (%d item)","Lista życzeń (%d)"
"My Wishlist (%d items)","Lista życzeń (%d)"
"My Cart","Mój koszyk"
"My Cart (%s item)","Mój koszyk (%s element)"
"My Cart (%s items)","Mój koszyk (%s elementów)"
"Checkout","Zamówienie"
"Log In","Zaloguj się"
"Compare (0)","Porównaj (0)"
"Compare (%d items)","Porównaj (%d items)"
"Compare (%d item)","Porównaj (%d item)"
"Recently added item(s)","Ostatnio dodane item (s)"
"Add to Wishlist","Dodaj do listy życzeń"
"Add to Compare","Dodaj do porównania"
"Quick View","Quick View"
"was added to your cart","został dodany do koszyka"
"Price","Cena"
"search","poszukiwanie"
"Related Products","Produkty powiązane"
"View shopping cart","koszyk View"
"Email to a friend","Powiadom znajomego"
"Description","Opis"
"New","New"
"Sale","Sale"



